threshold,flag_rate,precision,recall,f1,expected_cost_inr,expected_net_inr_per_1000,realized_net_inr_per_1000,true_positives,false_positives,is_operating_point
0.01,1.0,0.19075712881022616,1.0,0.32039636663914123,150186.76893172046,-31872.995963663547,-31871.681415929204,388,1646,False
0.02,0.8864306784660767,0.21186910704381587,0.9845360824742269,0.3486992240985851,134706.0359495775,-24262.01612976828,-24462.38938053097,382,1421,False
0.03,0.7374631268436578,0.24933333333333332,0.9639175257731959,0.3961864406779661,114854.4083548782,-14502.12055715309,-14756.637168141593,374,1126,False
0.04,0.6794493608652901,0.2706222865412446,0.9639175257731959,0.42259887005649727,107358.31158300312,-10816.723914146656,-10666.666666666666,374,1008,False
0.05,0.6494591937069814,0.28236184708554124,0.961340206185567,0.4365125804564073,103606.91627912811,-8972.380106931809,-8651.917404129794,373,948,False
0.06,0.6317600786627335,0.28871595330739297,0.9561855670103093,0.44351464435146437,101468.8764539623,-7921.229750409776,-7603.244837758112,371,914,False
0.07,0.6224188790560472,0.29067930489731436,0.9484536082474226,0.44498186215235785,100371.14426778104,-7381.538410104339,-7243.362831858407,368,898,False
0.08,0.6189773844641101,0.29229547259729943,0.9484536082474226,0.44687310261080754,99985.56330973172,-7191.970584121388,-7000.737463126844,368,891,False
0.09,0.6086529006882989,0.2964458804523425,0.9458762886597938,0.45141451414514144,98867.63048316739,-6642.347758868524,-6372.418879056047,367,871,False
0.1,0.5973451327433629,0.3004115226337449,0.9407216494845361,0.45539613225202746,97688.07294054268,-6062.427629751157,-5774.336283185841,365,850,False
0.11,0.5850540806293019,0.3025210084033613,0.9278350515463918,0.4562737642585551,96456.44950868879,-5456.909718318576,-5405.604719764011,360,830,False
0.12,0.571779744346116,0.30524505588993983,0.9149484536082474,0.4577691811734365,95175.6709530204,-4827.225079346893,-4967.55162241888,355,808,False
0.13,0.5535889872173058,0.31261101243339257,0.9072164948453608,0.464993394980185,93498.04059441734,-4002.4313927180515,-3983.77581120944,352,774,False
0.14,0.5304818092428711,0.32344763670064874,0.8994845360824743,0.47580095432856173,91468.39462691407,-3004.572018331002,-2653.392330383481,349,730,False
0.15,0.5137659783677483,0.32727272727272727,0.8814432989690721,0.4773203070481508,90071.9620436983,-2318.026992167893,-2171.828908554572,342,703,False
0.16,0.49065880039331367,0.3336673346693387,0.8582474226804123,0.48051948051948046,88234.77818913148,-1414.7900921842013,-1438.7905604719765,333,665,False
0.17,0.46853490658800395,0.33997901364113325,0.8350515463917526,0.48322147651006714,86572.98406286948,-597.7821638351422,-775.0737463126843,324,629,False
0.18,0.44296951819075714,0.34739178690344064,0.8067010309278351,0.48564778898370836,84750.27870314312,298.3364987638576,-67.84660766961652,313,588,False
0.19,0.41887905604719766,0.3626760563380282,0.7963917525773195,0.4983870967741935,83132.8705422518,1093.5224185727832,1232.3008849557523,309,543,False
0.2,0.4006882989183874,0.36687116564417177,0.770618556701031,0.49709060681629264,81983.10644397454,1658.7948366048486,1519.174041297935,299,516,False
0.21,0.3805309734513274,0.38113695090439276,0.7603092783505154,0.5077452667814114,80793.76891467601,2243.5232187575216,2542.0353982300885,295,479,False
0.22,0.3662733529990167,0.3865771812080537,0.7422680412371134,0.5083848190644307,80008.51147478864,2629.5888234219133,2850.294985250737,288,457,False
0.23,0.34513274336283184,0.3974358974358974,0.7190721649484536,0.5119266055045871,78939.12869128486,3155.342404298893,3444.6902654867254,279,423,False
0.24,0.3308751229105211,0.40416047548291234,0.7010309278350515,0.5127238454288406,78269.55824822365,3484.5314126869057,3752.9498525073745,272,401,False
0.25,0.3112094395280236,0.4107424960505529,0.6701030927835051,0.5093046033300686,77434.1363681438,3895.259967298435,3944.6902654867254,260,373,False
0.26,0.2969518190757129,0.42218543046357615,0.6572164948453608,0.5141129032258065,76889.07978649791,4163.232721303298,4452.064896755162,255,349,False
0.27,0.283677482792527,0.42634315424610053,0.634020618556701,0.5098445595854922,76437.43144894115,4385.282051468863,4491.887905604719,246,331,False
0.28,0.2728613569321534,0.43243243243243246,0.6185567010309279,0.5090137857900318,76108.51820855892,4546.989642610563,4657.079646017699,240,315,False
0.29,0.25712881022615536,0.44550669216061184,0.6005154639175257,0.5115257958287597,75701.37141690613,4747.160139981652,5069.321533923304,233,290,False
0.3,0.24631268436578171,0.4471057884231537,0.5773195876288659,0.5039370078740156,75465.70222111134,4863.025034669358,4935.840707964601,224,277,False
0.31,0.23549655850540807,0.4592901878914405,0.5670103092783505,0.5074971164936563,75270.64855660958,4958.921624886544,5300.147492625369,220,259,False
0.32,0.22418879056047197,0.4649122807017544,0.5463917525773195,0.5023696682464455,75115.66246153128,5035.119311749038,5300.884955752213,212,244,False
0.33,0.21189773844641102,0.4709976798143852,0.5231958762886598,0.49572649572649574,74999.9594671354,5092.003773103938,5271.386430678466,203,228,False
0.34,0.20206489675516223,0.4768856447688564,0.5051546391752577,0.490613266583229,74944.65801745406,5119.192293104602,5267.699115044247,196,215,False
0.34814814814814815,0.19075712881022616,0.48195876288659795,0.48195876288659795,0.48195876288659795,74923.53945957789,5129.575064921789,5168.879056047198,187,201,True
0.35,0.18928220255653885,0.4831168831168831,0.4793814432989691,0.48124191461836996,74924.19673227782,5129.251922001472,5173.30383480826,186,199,False
0.36,0.17994100294985252,0.4918032786885246,0.4639175257731959,0.47745358090185674,74951.38084729644,5115.88706702672,5234.513274336283,180,186,False
0.37,0.1710914454277286,0.4942528735632184,0.44329896907216493,0.4673913043478261,75010.2192676472,5086.959623393121,5061.946902654867,172,176,False
0.38,0.1597836774827925,0.5046153846153846,0.422680412371134,0.4600280504908836,75136.02560728378,5025.10793232303,5062.684365781711,164,161,False
0.39,0.14601769911504425,0.5016835016835017,0.38402061855670105,0.435036496350365,75350.00580445555,4919.9062621304165,4539.8230088495575,149,148,False
0.4,0.1352015732546706,0.49818181818181817,0.35309278350515466,0.4132730015082957,75555.09484226035,4819.075860063161,4107.669616519174,137,138,False
0.41,0.12684365781710916,0.5,0.3324742268041237,0.3993808049535604,75752.14933061122,4722.195580637948,3900.4424778761063,129,129,False
0.42,0.11897738446411013,0.512396694214876,0.31958762886597936,0.39365079365079364,75968.40651973351,4615.87444537626,3957.2271386430675,124,118,False
0.43,0.1111111111111111,0.5221238938053098,0.30412371134020616,0.3843648208469056,76219.72360123793,4492.316391539271,3914.4542772861355,118,108,False
0.44,0.10373647984267453,0.5260663507109005,0.2860824742268041,0.37061769616026713,76480.92845623184,4363.897092132238,3737.463126843658,111,100,False
0.45,0.09587020648967552,0.5128205128205128,0.25773195876288657,0.34305317324185247,76790.85565717876,4211.523836996098,3196.9026548672564,100,95,False
0.46,0.09095378564405113,0.518918918918919,0.24742268041237114,0.33507853403141363,77006.832678215,4105.340444156257,3145.2802359882007,96,89,False
0.47,0.0855457227138643,0.5344827586206896,0.23969072164948454,0.3309608540925267,77266.40866699426,3977.7219639304503,3227.8761061946902,93,81,False
0.48,0.07620452310717797,0.5548387096774193,0.22164948453608246,0.3167587476979742,77752.18469668986,3738.894024060457,3189.52802359882,86,69,False
0.49,0.07128810226155359,0.593103448275862,0.22164948453608246,0.32270168855534703,78028.86675087112,3602.8654821817477,3536.135693215339,86,59,False
0.5,0.06686332350049164,0.6102941176470589,0.21391752577319587,0.31679389312977096,78294.9618194475,3472.0419479750753,3549.410029498525,83,53,False
0.51,0.06096361848574238,0.6129032258064516,0.1958762886597938,0.296875,78677.57576000207,3283.932832658189,3268.4365781710912,76,48,False
0.52,0.05457227138643068,0.6306306306306306,0.18041237113402062,0.280561122244489,79115.66904617065,3068.5477362134543,3121.6814159292035,70,41,False
