metric,validation
Rows,"2,034"
Positive rate,0.1908
PR-AUC,"0.484 [0.439, 0.536]"
"PR-AUC, uncalibrated",0.484
ROC-AUC,"0.806 [0.785, 0.827]"
Recall @ precision 80%,0.036
Recall @ precision 90%,0.010
Brier score,0.1239
"Brier, uncalibrated",0.1247
Expected calibration error,0.0136
"ECE, uncalibrated",0.0285
Operating threshold,0.3481
Flag rate,0.191
Precision,0.482
Recall,0.482
F1,0.482
Confusion (TP / FP / FN / TN),"187 / 201 / 201 / 1,445"
"Net INR saved per 1,000 orders","5,169 [3,279, 7,173]"
"False-positive cost, INR","14,170"
"Do-nothing loss absorbed, INR/1k","41,967"
